business_unit,month,service,workload_count,allocated_cost_gbp,share_of_bu_pct,variance_vs_prior_month_pct
Cards,2025-11-01,Streaming Ingest,1,49.34,0.08,-10.78
Cards,2025-11-01,Tape Virtualisation,2,7423.37,11.63,-7.03
Cards,2025-11-01,VSAM Storage,1,482.39,0.76,-8.55
Cards,2025-11-01,WebSphere Application Server,1,89.31,0.14,-7.5
Cards,2025-11-01,z/OS Connect,1,6160.49,9.65,-6.82
Cards,2025-12-01,API Gateway,1,96.06,0.13,4.34
Cards,2025-12-01,CICS Transaction Server,2,6892.91,9.65,13.59
Cards,2025-12-01,COBOL Batch,2,5538.77,7.76,11.15
Cards,2025-12-01,Container Registry,1,190.58,0.27,12.78
Cards,2025-12-01,Db2 for z/OS,3,12183.21,17.06,8.67
Cards,2025-12-01,F5 Load Balancing,1,345.05,0.48,4.6
Cards,2025-12-01,JCL Scheduler,3,12585.28,17.62,9.16
Cards,2025-12-01,Log Analytics,1,209.15,0.29,5.95
Cards,2025-12-01,MQ for z/OS,1,3292.41,4.61,14.23
Cards,2025-12-01,Machine Learning Platform,2,257.87,0.36,4.73
Cards,2025-12-01,Managed PostgreSQL,1,112.59,0.16,8.33
Cards,2025-12-01,Managed Redis,1,557.33,0.78,6.11
Cards,2025-12-01,Message Queue,2,248.41,0.35,5.61
Cards,2025-12-01,Nagios Monitoring,1,63.85,0.09,6.56
Cards,2025-12-01,NetApp Storage,1,230.93,0.32,9.03
Cards,2025-12-01,Object Storage,2,501.43,0.7,8.22
Cards,2025-12-01,RACF Security,2,8546.09,11.97,15.27
Cards,2025-12-01,Red Hat Enterprise Linux,1,89.5,0.13,5.88
Cards,2025-12-01,SMF Analytics,1,1892.66,2.65,10.23
Cards,2025-12-01,SQL Server,2,971.52,1.36,6.84
Cards,2025-12-01,Secrets Manager,1,208.38,0.29,5.69
Cards,2025-12-01,Streaming Ingest,1,54.8,0.08,11.07
Cards,2025-12-01,Tape Virtualisation,2,8534.74,11.95,14.97
Cards,2025-12-01,VSAM Storage,1,527.63,0.74,9.38
Cards,2025-12-01,WebSphere Application Server,1,98.26,0.14,10.02
Cards,2025-12-01,z/OS Connect,1,7187.33,10.06,16.67
Cards,2026-01-01,API Gateway,1,99.19,0.15,3.26
Cards,2026-01-01,CICS Transaction Server,2,6388.1,9.59,-7.32
Cards,2026-01-01,COBOL Batch,2,5182.92,7.78,-6.42
Cards,2026-01-01,Container Registry,1,183.14,0.28,-3.9
Cards,2026-01-01,Db2 for z/OS,3,11403.08,17.13,-6.4
Cards,2026-01-01,F5 Load Balancing,1,343.85,0.52,-0.35
Cards,2026-01-01,JCL Scheduler,3,11839.86,17.78,-5.92
Cards,2026-01-01,Log Analytics,1,214.82,0.32,2.71
Cards,2026-01-01,MQ for z/OS,1,2956.96,4.44,-10.19
Cards,2026-01-01,Machine Learning Platform,2,257.68,0.39,-0.07
Cards,2026-01-01,Managed PostgreSQL,1,109.99,0.17,-2.31
Cards,2026-01-01,Managed Redis,1,551.8,0.83,-0.99
Cards,2026-01-01,Message Queue,2,248.51,0.37,0.04
Cards,2026-01-01,Nagios Monitoring,1,62.69,0.09,-1.82
Cards,2026-01-01,NetApp Storage,1,230.09,0.35,-0.36
Cards,2026-01-01,Object Storage,2,487.5,0.73,-2.78
Cards,2026-01-01,RACF Security,2,7969.02,11.97,-6.75
Cards,2026-01-01,Red Hat Enterprise Linux,1,92.0,0.14,2.79
Cards,2026-01-01,SMF Analytics,1,1751.31,2.63,-7.47
Cards,2026-01-01,SQL Server,2,989.28,1.49,1.83
Cards,2026-01-01,Secrets Manager,1,213.16,0.32,2.29
Cards,2026-01-01,Streaming Ingest,1,52.02,0.08,-5.07
Cards,2026-01-01,Tape Virtualisation,2,7813.75,11.74,-8.45
Cards,2026-01-01,VSAM Storage,1,525.37,0.79,-0.43
Cards,2026-01-01,WebSphere Application Server,1,96.05,0.14,-2.25
Cards,2026-01-01,z/OS Connect,1,6518.92,9.79,-9.3
Cards,2026-02-01,API Gateway,1,85.34,0.14,-13.96
Cards,2026-02-01,CICS Transaction Server,2,5771.94,9.53,-9.65
Cards,2026-02-01,COBOL Batch,2,4664.9,7.7,-9.99
Cards,2026-02-01,Container Registry,1,166.02,0.27,-9.35
Cards,2026-02-01,Db2 for z/OS,3,10734.94,17.72,-5.86
Cards,2026-02-01,F5 Load Balancing,1,311.22,0.51,-9.49
Cards,2026-02-01,JCL Scheduler,3,10797.78,17.83,-8.8
Cards,2026-02-01,Log Analytics,1,191.75,0.32,-10.74
Cards,2026-02-01,MQ for z/OS,1,2734.12,4.51,-7.54
Cards,2026-02-01,Machine Learning Platform,2,235.44,0.39,-8.63
Cards,2026-02-01,Managed PostgreSQL,1,98.24,0.16,-10.68
Cards,2026-02-01,Managed Redis,1,493.96,0.82,-10.48
Cards,2026-02-01,Message Queue,2,224.23,0.37,-9.77
Cards,2026-02-01,Nagios Monitoring,1,58.59,0.1,-6.54
Cards,2026-02-01,NetApp Storage,1,202.02,0.33,-12.2
Cards,2026-02-01,Object Storage,2,438.79,0.72,-9.99
Cards,2026-02-01,RACF Security,2,7097.56,11.72,-10.94
Cards,2026-02-01,Red Hat Enterprise Linux,1,80.65,0.13,-12.34
Cards,2026-02-01,SMF Analytics,1,1551.34,2.56,-11.42
Cards,2026-02-01,SQL Server,2,827.19,1.37,-16.38
Cards,2026-02-01,Secrets Manager,1,193.77,0.32,-9.1
Cards,2026-02-01,Streaming Ingest,1,46.63,0.08,-10.36
Cards,2026-02-01,Tape Virtualisation,2,7115.94,11.75,-8.93
Cards,2026-02-01,VSAM Storage,1,466.4,0.77,-11.22
Cards,2026-02-01,WebSphere Application Server,1,89.17,0.15,-7.16
Cards,2026-02-01,z/OS Connect,1,5889.53,9.72,-9.65
Cards,2026-03-01,API Gateway,1,91.84,0.13,7.62
Cards,2026-03-01,CICS Transaction Server,2,6750.3,9.51,16.95
Cards,2026-03-01,COBOL Batch,2,5612.26,7.91,20.31
Cards,2026-03-01,Container Registry,1,184.29,0.26,11.0
Cards,2026-03-01,Db2 for z/OS,3,12528.06,17.65,16.7
Cards,2026-03-01,F5 Load Balancing,1,344.16,0.48,10.58
Cards,2026-03-01,JCL Scheduler,3,12716.46,17.91,17.77
Cards,2026-03-01,Log Analytics,1,211.27,0.3,10.18
Cards,2026-03-01,MQ for z/OS,1,3250.34,4.58,18.88
Cards,2026-03-01,Machine Learning Platform,2,262.08,0.37,11.31
Cards,2026-03-01,Managed PostgreSQL,1,111.03,0.16,13.02
Cards,2026-03-01,Managed Redis,1,551.93,0.78,11.74
Cards,2026-03-01,Message Queue,2,244.44,0.34,9.01
Cards,2026-03-01,Nagios Monitoring,1,60.55,0.09,3.35
Cards,2026-03-01,NetApp Storage,1,233.44,0.33,15.55
Cards,2026-03-01,Object Storage,2,483.47,0.68,10.18
Cards,2026-03-01,RACF Security,2,8487.88,11.96,19.59
Cards,2026-03-01,Red Hat Enterprise Linux,1,87.76,0.12,8.82
Cards,2026-03-01,SMF Analytics,1,1811.42,2.55,16.76
Cards,2026-03-01,SQL Server,2,972.94,1.37,17.62
Cards,2026-03-01,Secrets Manager,1,205.88,0.29,6.25
Cards,2026-03-01,Streaming Ingest,1,52.65,0.07,12.91
Cards,2026-03-01,Tape Virtualisation,2,8236.34,11.6,15.74
Cards,2026-03-01,VSAM Storage,1,545.41,0.77,16.94
Cards,2026-03-01,WebSphere Application Server,1,94.92,0.13,6.45
Cards,2026-03-01,z/OS Connect,1,6852.21,9.65,16.35
Cards,2026-04-01,API Gateway,1,90.51,0.14,-1.45
Cards,2026-04-01,CICS Transaction Server,2,6204.72,9.4,-8.08
Cards,2026-04-01,COBOL Batch,2,5127.42,7.77,-8.64
Cards,2026-04-01,Container Registry,1,187.71,0.28,1.86
Cards,2026-04-01,Db2 for z/OS,3,11581.69,17.54,-7.55
Cards,2026-04-01,F5 Load Balancing,1,343.04,0.52,-0.33
Cards,2026-04-01,JCL Scheduler,3,11688.48,17.7,-8.08
Cards,2026-04-01,Log Analytics,1,207.94,0.31,-1.58
Cards,2026-04-01,MQ for z/OS,1,2935.2,4.45,-9.7
Cards,2026-04-01,Machine Learning Platform,2,242.64,0.37,-7.42
Cards,2026-04-01,Managed PostgreSQL,1,109.29,0.17,-1.57
Cards,2026-04-01,Managed Redis,1,531.35,0.8,-3.73
Cards,2026-04-01,Message Queue,2,245.77,0.37,0.54
Cards,2026-04-01,Nagios Monitoring,1,63.21,0.1,4.39
Cards,2026-04-01,NetApp Storage,1,220.66,0.33,-5.47
Cards,2026-04-01,Object Storage,2,503.88,0.76,4.22
Cards,2026-04-01,RACF Security,2,8013.68,12.14,-5.59
Cards,2026-04-01,Red Hat Enterprise Linux,1,87.39,0.13,-0.42
Cards,2026-04-01,SMF Analytics,1,1783.18,2.7,-1.56
Cards,2026-04-01,SQL Server,2,963.44,1.46,-0.98
Cards,2026-04-01,Secrets Manager,1,196.74,0.3,-4.44
Cards,2026-04-01,Streaming Ingest,1,49.85,0.08,-5.32
Cards,2026-04-01,Tape Virtualisation,2,7541.48,11.42,-8.44
Cards,2026-04-01,VSAM Storage,1,498.11,0.75,-8.67
Cards,2026-04-01,WebSphere Application Server,1,94.13,0.14,-0.83
Cards,2026-04-01,z/OS Connect,1,6507.24,9.86,-5.03
Cards,2026-05-01,API Gateway,1,92.25,0.14,1.92
Cards,2026-05-01,CICS Transaction Server,2,5914.9,9.13,-4.67
Cards,2026-05-01,COBOL Batch,2,5080.69,7.84,-0.91
Cards,2026-05-01,Container Registry,1,181.03,0.28,-3.56
Cards,2026-05-01,Db2 for z/OS,3,11263.32,17.39,-2.75
Cards,2026-05-01,F5 Load Balancing,1,347.98,0.54,1.44
Cards,2026-05-01,JCL Scheduler,3,11593.11,17.9,-0.82
Cards,2026-05-01,Log Analytics,1,208.74,0.32,0.38
Cards,2026-05-01,MQ for z/OS,1,2869.3,4.43,-2.25
Cards,2026-05-01,Machine Learning Platform,2,248.98,0.38,2.61
Cards,2026-05-01,Managed PostgreSQL,1,107.52,0.17,-1.62
Cards,2026-05-01,Managed Redis,1,540.78,0.83,1.77
Cards,2026-05-01,Message Queue,2,247.96,0.38,0.89
Cards,2026-05-01,Nagios Monitoring,1,63.39,0.1,0.28
Cards,2026-05-01,NetApp Storage,1,222.28,0.34,0.73
Cards,2026-05-01,Object Storage,2,489.64,0.76,-2.83
Cards,2026-05-01,RACF Security,2,7859.38,12.13,-1.93
Cards,2026-05-01,Red Hat Enterprise Linux,1,86.02,0.13,-1.57
Cards,2026-05-01,SMF Analytics,1,1736.87,2.68,-2.6
Cards,2026-05-01,SQL Server,2,938.75,1.45,-2.56
Cards,2026-05-01,Secrets Manager,1,206.94,0.32,5.18
Cards,2026-05-01,Streaming Ingest,1,50.27,0.08,0.84
Cards,2026-05-01,Tape Virtualisation,2,7464.48,11.52,-1.02
Cards,2026-05-01,VSAM Storage,1,508.7,0.79,2.13
Cards,2026-05-01,WebSphere Application Server,1,96.02,0.15,2.01
Cards,2026-05-01,z/OS Connect,1,6348.6,9.8,-2.44
Cards,2026-06-01,API Gateway,1,95.33,0.14,3.34
Cards,2026-06-01,CICS Transaction Server,2,6682.12,9.56,12.97
Cards,2026-06-01,COBOL Batch,2,5406.38,7.74,6.41
Cards,2026-06-01,Container Registry,1,178.41,0.26,-1.45
Cards,2026-06-01,Db2 for z/OS,3,12622.26,18.06,12.07
Cards,2026-06-01,F5 Load Balancing,1,325.84,0.47,-6.36
Cards,2026-06-01,JCL Scheduler,3,12453.06,17.82,7.42
Cards,2026-06-01,Log Analytics,1,211.27,0.3,1.21
Cards,2026-06-01,MQ for z/OS,1,3021.96,4.32,5.32
Cards,2026-06-01,Machine Learning Platform,2,250.67,0.36,0.68
Cards,2026-06-01,Managed PostgreSQL,1,106.85,0.15,-0.62
Cards,2026-06-01,Managed Redis,1,535.64,0.77,-0.95
Cards,2026-06-01,Message Queue,2,243.61,0.35,-1.75
Cards,2026-06-01,Nagios Monitoring,1,61.94,0.09,-2.29
Cards,2026-06-01,NetApp Storage,1,223.14,0.32,0.39
Cards,2026-06-01,Object Storage,2,492.01,0.7,0.48
Cards,2026-06-01,RACF Security,2,8053.07,11.52,2.46
Cards,2026-06-01,Red Hat Enterprise Linux,1,88.32,0.13,2.67
Cards,2026-06-01,SMF Analytics,1,1848.66,2.65,6.44
Cards,2026-06-01,SQL Server,2,907.27,1.3,-3.35
Cards,2026-06-01,Secrets Manager,1,195.16,0.28,-5.69
Cards,2026-06-01,Streaming Ingest,1,50.75,0.07,0.95
Cards,2026-06-01,Tape Virtualisation,2,8298.95,11.87,11.18
Cards,2026-06-01,VSAM Storage,1,524.11,0.75,3.03
Cards,2026-06-01,WebSphere Application Server,1,91.42,0.13,-4.79
Cards,2026-06-01,z/OS Connect,1,6922.68,9.9,9.04
Cards,2026-07-01,API Gateway,1,100.72,0.15,5.65
Cards,2026-07-01,CICS Transaction Server,2,6504.03,9.48,-2.67
Cards,2026-07-01,COBOL Batch,2,5308.81,7.74,-1.8
Cards,2026-07-01,Container Registry,1,177.53,0.26,-0.49
Cards,2026-07-01,Db2 for z/OS,3,12026.43,17.52,-4.72
Cards,2026-07-01,F5 Load Balancing,1,344.09,0.5,5.6
Cards,2026-07-01,JCL Scheduler,3,12242.33,17.84,-1.69
Cards,2026-07-01,Log Analytics,1,217.56,0.32,2.98
Cards,2026-07-01,MQ for z/OS,1,3148.38,4.59,4.18
Cards,2026-07-01,Machine Learning Platform,2,268.68,0.39,7.18
Cards,2026-07-01,Managed PostgreSQL,1,108.69,0.16,1.72
Cards,2026-07-01,Managed Redis,1,569.54,0.83,6.33
Cards,2026-07-01,Message Queue,2,252.31,0.37,3.57
Cards,2026-07-01,Nagios Monitoring,1,64.93,0.09,4.83
Cards,2026-07-01,NetApp Storage,1,236.99,0.35,6.21
Cards,2026-07-01,Object Storage,2,503.15,0.73,2.26
Cards,2026-07-01,RACF Security,2,7988.03,11.64,-0.81
Cards,2026-07-01,Red Hat Enterprise Linux,1,90.02,0.13,1.92
Cards,2026-07-01,SMF Analytics,1,1897.37,2.76,2.63
Cards,2026-07-01,SQL Server,2,930.74,1.36,2.59
Cards,2026-07-01,Secrets Manager,1,215.7,0.31,10.52
Cards,2026-07-01,Streaming Ingest,1,54.78,0.08,7.94
Cards,2026-07-01,Tape Virtualisation,2,7972.58,11.62,-3.93
Cards,2026-07-01,VSAM Storage,1,533.83,0.78,1.85
Cards,2026-07-01,WebSphere Application Server,1,98.62,0.14,7.88
Cards,2026-07-01,z/OS Connect,1,6777.69,9.88,-2.09
Cards,2026-08-01,API Gateway,1,89.44,0.14,-11.2
Cards,2026-08-01,CICS Transaction Server,2,6306.4,9.54,-3.04
Cards,2026-08-01,COBOL Batch,2,5174.75,7.83,-2.53
Cards,2026-08-01,Container Registry,1,182.79,0.28,2.96
Cards,2026-08-01,Db2 for z/OS,3,11740.33,17.77,-2.38
Cards,2026-08-01,F5 Load Balancing,1,342.76,0.52,-0.39
Cards,2026-08-01,JCL Scheduler,3,11492.52,17.39,-6.12
Cards,2026-08-01,Log Analytics,1,202.67,0.31,-6.84
Cards,2026-08-01,MQ for z/OS,1,3055.2,4.62,-2.96
Cards,2026-08-01,Machine Learning Platform,2,260.38,0.39,-3.09
Cards,2026-08-01,Managed PostgreSQL,1,108.97,0.16,0.26
Cards,2026-08-01,Managed Redis,1,550.38,0.83,-3.36
Cards,2026-08-01,Message Queue,2,244.48,0.37,-3.1
Cards,2026-08-01,Nagios Monitoring,1,63.14,0.1,-2.76
Cards,2026-08-01,NetApp Storage,1,210.62,0.32,-11.13
Cards,2026-08-01,Object Storage,2,480.44,0.73,-4.51
Cards,2026-08-01,RACF Security,2,7868.51,11.91,-1.5
Cards,2026-08-01,Red Hat Enterprise Linux,1,88.19,0.13,-2.03
Cards,2026-08-01,SMF Analytics,1,1771.43,2.68,-6.64
Cards,2026-08-01,SQL Server,2,948.47,1.44,1.9
Cards,2026-08-01,Secrets Manager,1,202.07,0.31,-6.32
Cards,2026-08-01,Streaming Ingest,1,50.15,0.08,-8.45
Cards,2026-08-01,Tape Virtualisation,2,7702.52,11.66,-3.39
Cards,2026-08-01,VSAM Storage,1,502.21,0.76,-5.92
Cards,2026-08-01,WebSphere Application Server,1,94.58,0.14,-4.1
Cards,2026-08-01,z/OS Connect,1,6353.17,9.61,-6.26
Cards,2026-09-01,API Gateway,1,94.93,0.14,6.14
Cards,2026-09-01,CICS Transaction Server,2,6779.1,9.73,7.5
Cards,2026-09-01,COBOL Batch,2,5475.15,7.86,5.81
Cards,2026-09-01,Container Registry,1,184.04,0.26,0.68
Cards,2026-09-01,Db2 for z/OS,3,11964.06,17.17,1.91
Cards,2026-09-01,F5 Load Balancing,1,333.08,0.48,-2.82
Cards,2026-09-01,JCL Scheduler,3,12442.54,17.86,8.27
Cards,2026-09-01,Log Analytics,1,205.99,0.3,1.64
Cards,2026-09-01,MQ for z/OS,1,3146.01,4.52,2.97
Cards,2026-09-01,Machine Learning Platform,2,249.57,0.36,-4.15
Cards,2026-09-01,Managed PostgreSQL,1,110.2,0.16,1.13
Cards,2026-09-01,Managed Redis,1,549.12,0.79,-0.23
Cards,2026-09-01,Message Queue,2,239.99,0.34,-1.84
Cards,2026-09-01,Nagios Monitoring,1,60.15,0.09,-4.74
Cards,2026-09-01,NetApp Storage,1,223.81,0.32,6.26
Cards,2026-09-01,Object Storage,2,492.77,0.71,2.57
Cards,2026-09-01,RACF Security,2,8101.9,11.63,2.97
Cards,2026-09-01,Red Hat Enterprise Linux,1,89.43,0.13,1.41
Cards,2026-09-01,SMF Analytics,1,1876.01,2.69,5.9
Cards,2026-09-01,SQL Server,2,947.53,1.36,-0.1
Cards,2026-09-01,Secrets Manager,1,200.26,0.29,-0.9
Cards,2026-09-01,Streaming Ingest,1,49.95,0.07,-0.4
Cards,2026-09-01,Tape Virtualisation,2,8366.16,12.01,8.62
Cards,2026-09-01,VSAM Storage,1,515.2,0.74,2.59
Cards,2026-09-01,WebSphere Application Server,1,91.41,0.13,-3.35
Cards,2026-09-01,z/OS Connect,1,6885.95,9.88,8.39
Collections,2025-10-01,API Gateway,1,62.14,0.11,
Collections,2025-10-01,Active Directory,1,323.9,0.59,
Collections,2025-10-01,Block Storage,1,142.61,0.26,
Collections,2025-10-01,CICS Transaction Server,4,14852.69,26.89,
Collections,2025-10-01,Compute Instances,1,51.84,0.09,
Collections,2025-10-01,Content Delivery,1,105.61,0.19,
Collections,2025-10-01,Data Warehouse,2,270.5,0.49,
Collections,2025-10-01,Db2 for z/OS,1,835.57,1.51,
Collections,2025-10-01,IMS Transaction Manager,3,7087.33,12.83,
Collections,2025-10-01,JCL Scheduler,3,9674.67,17.51,
Collections,2025-10-01,Kubernetes Service,1,203.49,0.37,
Collections,2025-10-01,Log Analytics,2,155.94,0.28,
Collections,2025-10-01,Machine Learning Platform,1,54.31,0.1,
Collections,2025-10-01,Managed Redis,2,443.27,0.8,
Collections,2025-10-01,Message Queue,1,46.89,0.08,
Collections,2025-10-01,Nagios Monitoring,2,634.69,1.15,
Collections,2025-10-01,NetApp Storage,3,475.85,0.86,
Collections,2025-10-01,Object Storage,2,385.51,0.7,
Collections,2025-10-01,Oracle Database,2,369.14,0.67,
Collections,2025-10-01,RACF Security,1,8972.36,16.24,
Collections,2025-10-01,Red Hat Enterprise Linux,2,485.31,0.88,
Collections,2025-10-01,SMF Analytics,1,688.01,1.25,
Collections,2025-10-01,SQL Server,2,500.58,0.91,
Collections,2025-10-01,Secrets Manager,1,139.87,0.25,
Collections,2025-10-01,Streaming Ingest,2,219.43,0.4,
Collections,2025-10-01,Sysplex Coupling,3,6000.62,10.86,
Collections,2025-10-01,Tomcat,3,673.43,1.22,
Collections,2025-10-01,VSAM Storage,1,649.01,1.17,
Collections,2025-10-01,Veeam Backup,2,735.75,1.33,
Collections,2025-11-01,API Gateway,1,57.24,0.11,-7.89
Collections,2025-11-01,Active Directory,1,306.08,0.6,-5.5
Collections,2025-11-01,Block Storage,1,130.55,0.25,-8.46
Collections,2025-11-01,CICS Transaction Server,4,14100.54,27.43,-5.06
Collections,2025-11-01,Compute Instances,1,48.16,0.09,-7.1
Collections,2025-11-01,Content Delivery,1,99.75,0.19,-5.55
Collections,2025-11-01,Data Warehouse,2,251.54,0.49,-7.01
Collections,2025-11-01,Db2 for z/OS,1,786.43,1.53,-5.88
Collections,2025-11-01,IMS Transaction Manager,3,6444.88,12.54,-9.06
Collections,2025-11-01,JCL Scheduler,3,9154.29,17.81,-5.38
Collections,2025-11-01,Kubernetes Service,1,189.02,0.37,-7.11
Collections,2025-11-01,Log Analytics,2,143.84,0.28,-7.76
Collections,2025-11-01,Machine Learning Platform,1,51.12,0.1,-5.87
Collections,2025-11-01,Managed Redis,2,424.5,0.83,-4.23
Collections,2025-11-01,Message Queue,1,42.76,0.08,-8.81
Collections,2025-11-01,Nagios Monitoring,2,601.66,1.17,-5.2
Collections,2025-11-01,NetApp Storage,3,427.68,0.83,-10.12
Collections,2025-11-01,Object Storage,2,371.81,0.72,-3.55
Collections,2025-11-01,Oracle Database,2,350.39,0.68,-5.08
Collections,2025-11-01,RACF Security,1,8037.28,15.64,-10.42
Collections,2025-11-01,Red Hat Enterprise Linux,2,449.39,0.87,-7.4
Collections,2025-11-01,SMF Analytics,1,614.22,1.19,-10.73
Collections,2025-11-01,SQL Server,2,464.78,0.9,-7.15
Collections,2025-11-01,Secrets Manager,1,128.68,0.25,-8.0
Collections,2025-11-01,Streaming Ingest,2,205.59,0.4,-6.31
Collections,2025-11-01,Sysplex Coupling,3,5589.39,10.87,-6.85
Collections,2025-11-01,Tomcat,3,628.87,1.22,-6.62
Collections,2025-11-01,VSAM Storage,1,595.57,1.16,-8.23
Collections,2025-11-01,Veeam Backup,2,707.46,1.38,-3.85
Collections,2025-12-01,API Gateway,1,63.2,0.11,10.41
Collections,2025-12-01,Active Directory,1,337.51,0.59,10.27
Collections,2025-12-01,Block Storage,1,138.47,0.24,6.07
Collections,2025-12-01,CICS Transaction Server,4,15631.82,27.44,10.86
Collections,2025-12-01,Compute Instances,1,50.7,0.09,5.27
Collections,2025-12-01,Content Delivery,1,98.96,0.17,-0.79
Collections,2025-12-01,Data Warehouse,2,268.14,0.47,6.6
Collections,2025-12-01,Db2 for z/OS,1,873.83,1.53,11.11
Collections,2025-12-01,IMS Transaction Manager,3,7485.89,13.14,16.15
Collections,2025-12-01,JCL Scheduler,3,9815.19,17.23,7.22
Collections,2025-12-01,Kubernetes Service,1,199.43,0.35,5.51
Collections,2025-12-01,Log Analytics,2,155.97,0.27,8.43
Collections,2025-12-01,Machine Learning Platform,1,50.7,0.09,-0.82
Collections,2025-12-01,Managed Redis,2,458.1,0.8,7.92
Collections,2025-12-01,Message Queue,1,45.79,0.08,7.09
Collections,2025-12-01,Nagios Monitoring,2,647.21,1.14,7.57
Collections,2025-12-01,NetApp Storage,3,468.63,0.82,9.57
Collections,2025-12-01,Object Storage,2,392.7,0.69,5.62
Collections,2025-12-01,Oracle Database,2,376.16,0.66,7.35
Collections,2025-12-01,RACF Security,1,9234.81,16.21,14.9
Collections,2025-12-01,Red Hat Enterprise Linux,2,487.59,0.86,8.5
Collections,2025-12-01,SMF Analytics,1,710.42,1.25,15.66
Collections,2025-12-01,SQL Server,2,495.79,0.87,6.67
Collections,2025-12-01,Secrets Manager,1,139.45,0.24,8.37
Collections,2025-12-01,Streaming Ingest,2,223.75,0.39,8.83
Collections,2025-12-01,Sysplex Coupling,3,6010.64,10.55,7.54
Collections,2025-12-01,Tomcat,3,666.24,1.17,5.94
Collections,2025-12-01,VSAM Storage,1,686.7,1.21,15.3
Collections,2025-12-01,Veeam Backup,2,760.28,1.33,7.47
Collections,2026-01-01,API Gateway,1,60.51,0.11,-4.26
Collections,2026-01-01,Active Directory,1,316.23,0.59,-6.3
Collections,2026-01-01,Block Storage,1,138.85,0.26,0.27
Collections,2026-01-01,CICS Transaction Server,4,14954.58,27.76,-4.33
Collections,2026-01-01,Compute Instances,1,52.04,0.1,2.64
Collections,2026-01-01,Content Delivery,1,99.5,0.18,0.55
Collections,2026-01-01,Data Warehouse,2,262.21,0.49,-2.21
Collections,2026-01-01,Db2 for z/OS,1,839.97,1.56,-3.87
Collections,2026-01-01,IMS Transaction Manager,3,7037.13,13.06,-5.99
Collections,2026-01-01,JCL Scheduler,3,9185.54,17.05,-6.42
Collections,2026-01-01,Kubernetes Service,1,197.52,0.37,-0.96
Collections,2026-01-01,Log Analytics,2,153.72,0.29,-1.44
