declaration_id,member_id,authority,register_held_by,ward,role,committee,declaration_category,declaration_detail,withheld,registered_date,last_updated_date
D-000031,M-00013,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon East,Councillor,Environment,Contracts with the authority,Contracts with the authority declared in the register,False,2023-06-20,2023-09-29
D-000032,M-00014,Cambridgeshire County Council,Cambridgeshire County Council,Buckden,Councillor,Audit and Governance,Membership of a political party,Membership of a political party declared in the register,False,2024-02-12,2024-07-18
D-000033,M-00014,Cambridgeshire County Council,Cambridgeshire County Council,Buckden,Councillor,Licensing,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2024-03-13,2024-08-10
D-000034,M-00014,Cambridgeshire County Council,Cambridgeshire County Council,Buckden,Councillor,Audit and Governance,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2025-02-22,2025-07-07
D-000035,M-00014,Cambridgeshire County Council,Cambridgeshire County Council,Buckden,Councillor,Licensing,Trade union membership,Trade union membership declared in the register,False,2025-06-19,2025-08-19
D-000036,M-00014,Cambridgeshire County Council,Cambridgeshire County Council,Buckden,Councillor,Overview and Scrutiny,Directorship,Directorship declared in the register,False,2024-08-18,2024-11-20
D-000037,M-00015,St Ives Town Council,Huntingdonshire District Council,Fenstanton,Committee Member,Licensing,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-10-07,2024-09-30
D-000038,M-00016,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Environment,"Employment, office, trade or profession",Employment declared in the register,False,2025-06-05,2025-11-17
D-000039,M-00016,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Corporate Governance,Licences to occupy land,Licences to occupy land declared in the register,False,2023-11-27,2024-04-06
D-000040,M-00016,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Corporate Governance,Land and property in the area,Land and property in the area declared in the register,False,2025-09-17,2026-08-06
D-000041,M-00016,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Employment,Contracts with the authority,Contracts with the authority declared in the register,False,2025-01-04,2025-04-16
D-000042,M-00016,South Cambridgeshire District Council,South Cambridgeshire District Council,Fenstanton,Councillor,Environment,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2024-05-06,2025-03-22
D-000043,M-00017,Ramsey Town Council,Huntingdonshire District Council,St Ives East,Cabinet Member,Corporate Governance,Land and property in the area,Land and property in the area declared in the register,False,2025-07-21,2025-11-20
D-000044,M-00018,Cambridgeshire County Council,Cambridgeshire County Council,St Neots East,Councillor,Planning,Licences to occupy land,Licences to occupy land declared in the register,False,2023-08-31,2024-02-19
D-000045,M-00019,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives South,Councillor,Employment,Contracts with the authority,Contracts with the authority declared in the register,False,2025-06-08,2025-10-23
D-000046,M-00019,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives South,Councillor,(none),Contracts with the authority,Contracts with the authority declared in the register,False,2024-11-12,2025-05-14
D-000047,M-00019,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives South,Councillor,Employment,"Employment, office, trade or profession",Employment declared in the register,False,2025-05-15,2025-07-24
D-000048,M-00020,St Ives Town Council,Huntingdonshire District Council,Buckden,Councillor,Health and Wellbeing,Membership of a political party,Membership of a political party declared in the register,False,2025-10-02,2025-11-30
D-000049,M-00021,Ramsey Town Council,Huntingdonshire District Council,Huntingdon West,Chair,Licensing,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2025-01-23,2025-08-06
D-000050,M-00021,Ramsey Town Council,Huntingdonshire District Council,Huntingdon West,Chair,Finance,Contracts with the authority,Contracts with the authority declared in the register,False,2023-11-07,2024-06-28
D-000051,M-00021,Ramsey Town Council,Huntingdonshire District Council,Huntingdon West,Chair,Planning,Contracts with the authority,Contracts with the authority declared in the register,False,2025-01-02,2025-12-29
D-000052,M-00021,Ramsey Town Council,Huntingdonshire District Council,Huntingdon West,Chair,Finance,Membership of a political party,Membership of a political party declared in the register,False,2025-09-02,2026-07-10
D-000053,M-00021,Ramsey Town Council,Huntingdonshire District Council,Huntingdon West,Chair,Licensing,Licences to occupy land,Licences to occupy land declared in the register,False,2023-10-10,2024-08-11
D-000054,M-00022,Huntingdon Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Standards,Corporate tenancies,Corporate tenancies declared in the register,False,2024-02-15,2024-05-17
D-000055,M-00022,Huntingdon Town Council,Huntingdonshire District Council,Godmanchester,Councillor,(none),Licences to occupy land,Licences to occupy land declared in the register,False,2024-04-17,2024-10-20
D-000056,M-00022,Huntingdon Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Employment,Securities,Securities declared in the register,False,2023-12-29,2024-10-11
D-000057,M-00022,Huntingdon Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Licensing,Licences to occupy land,Licences to occupy land declared in the register,False,2025-04-17,2025-09-30
D-000058,M-00022,Huntingdon Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Environment,Trade union membership,Trade union membership declared in the register,False,2025-02-21,2026-01-09
D-000059,M-00023,Ramsey Town Council,Huntingdonshire District Council,Somersham,Cabinet Member,Corporate Governance,Sponsorship,Sponsorship declared in the register,False,2023-09-19,2024-02-24
D-000060,M-00023,Ramsey Town Council,Huntingdonshire District Council,Somersham,Cabinet Member,(none),Securities,Securities declared in the register,False,2024-02-07,2024-11-06
D-000061,M-00023,Ramsey Town Council,Huntingdonshire District Council,Somersham,Cabinet Member,Licensing,"Employment, office, trade or profession",Employment declared in the register,False,2025-06-30,2026-06-27
D-000062,M-00024,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Committee Member,Licensing,Membership of a political party,Membership of a political party declared in the register,False,2024-07-09,2024-11-22
D-000063,M-00024,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Committee Member,Planning,Directorship,Directorship declared in the register,False,2023-12-03,2024-10-12
D-000064,M-00024,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Committee Member,Corporate Governance,Corporate tenancies,Corporate tenancies declared in the register,False,2025-07-27,2026-05-13
D-000065,M-00024,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Committee Member,Health and Wellbeing,Membership of a political party,Membership of a political party declared in the register,False,2024-11-15,2025-11-11
D-000066,M-00025,Huntingdon Town Council,Huntingdonshire District Council,Little Paxton,Councillor,Environment,Securities,Securities declared in the register,False,2025-06-23,2025-07-14
D-000067,M-00025,Huntingdon Town Council,Huntingdonshire District Council,Little Paxton,Councillor,Overview and Scrutiny,"Employment, office, trade or profession",Employment declared in the register,False,2025-08-21,2026-01-22
D-000068,M-00026,Huntingdonshire District Council,Huntingdonshire District Council,St Ives East,Councillor,Planning,Securities,Securities declared in the register,False,2024-09-30,2024-12-22
D-000069,M-00026,Huntingdonshire District Council,Huntingdonshire District Council,St Ives East,Councillor,(none),Contracts with the authority,Contracts with the authority declared in the register,False,2023-09-22,2023-11-25
D-000070,M-00026,Huntingdonshire District Council,Huntingdonshire District Council,St Ives East,Councillor,Overview and Scrutiny,"Employment, office, trade or profession",Employment declared in the register,False,2023-09-29,2023-10-19
D-000071,M-00026,Huntingdonshire District Council,Huntingdonshire District Council,St Ives East,Councillor,Finance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-08-30,2023-11-24
D-000072,M-00026,Huntingdonshire District Council,Huntingdonshire District Council,St Ives East,Councillor,Finance,Corporate tenancies,Corporate tenancies declared in the register,False,2024-08-17,2025-05-19
D-000073,M-00027,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Employment,Corporate tenancies,Corporate tenancies declared in the register,False,2023-07-27,2024-08-01
D-000074,M-00027,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,Standards,Sponsorship,Sponsorship declared in the register,False,2024-07-14,2025-07-27
D-000075,M-00027,Ramsey Town Council,Huntingdonshire District Council,Ramsey,Councillor,(none),Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-07-23,2024-08-25
D-000076,M-00028,Cambridgeshire County Council,Cambridgeshire County Council,St Neots East,Councillor,Overview and Scrutiny,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2024-08-27,2024-12-05
D-000077,M-00028,Cambridgeshire County Council,Cambridgeshire County Council,St Neots East,Councillor,Environment,Sponsorship,Sponsorship declared in the register,False,2024-01-04,2024-10-08
D-000078,M-00028,Cambridgeshire County Council,Cambridgeshire County Council,St Neots East,Councillor,Audit and Governance,Directorship,Directorship declared in the register,False,2023-05-19,2024-05-17
D-000079,M-00028,Cambridgeshire County Council,Cambridgeshire County Council,St Neots East,Councillor,Planning,Corporate tenancies,Corporate tenancies declared in the register,False,2024-05-19,2024-07-16
D-000080,M-00029,Huntingdon Town Council,Huntingdonshire District Council,St Neots East,Committee Member,Licensing,Licences to occupy land,Licences to occupy land declared in the register,False,2023-09-01,2024-01-31
D-000081,M-00029,Huntingdon Town Council,Huntingdonshire District Council,St Neots East,Committee Member,Planning,Licences to occupy land,Licences to occupy land declared in the register,False,2025-04-02,2025-08-24
D-000082,M-00030,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon West,Councillor,Corporate Governance,Land and property in the area,Land and property in the area declared in the register,False,2024-11-04,2025-04-17
D-000083,M-00030,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon West,Councillor,Audit and Governance,Directorship,Directorship declared in the register,False,2025-03-30,2025-07-31
D-000084,M-00031,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives West,Councillor,Corporate Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-09-22,2024-06-12
D-000085,M-00031,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives West,Councillor,(none),Corporate tenancies,Corporate tenancies declared in the register,False,2023-07-10,2024-06-25
D-000086,M-00032,Ramsey Town Council,Huntingdonshire District Council,Warboys,Chair,(none),Corporate tenancies,Corporate tenancies declared in the register,False,2024-12-23,2025-08-29
D-000087,M-00032,Ramsey Town Council,Huntingdonshire District Council,Warboys,Chair,Overview and Scrutiny,Securities,Securities declared in the register,False,2025-01-30,2025-05-26
D-000088,M-00032,Ramsey Town Council,Huntingdonshire District Council,Warboys,Chair,Planning,Land and property in the area,Land and property in the area declared in the register,False,2024-11-02,2025-09-27
D-000089,M-00032,Ramsey Town Council,Huntingdonshire District Council,Warboys,Chair,Standards,Land and property in the area,Land and property in the area declared in the register,False,2024-02-06,2024-07-06
D-000090,M-00033,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon North,Councillor,(none),Land and property in the area,Land and property in the area declared in the register,False,2023-08-09,2024-01-05
D-000091,M-00033,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon North,Councillor,Overview and Scrutiny,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-09-16,2024-08-20
D-000092,M-00033,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon North,Councillor,Corporate Governance,Directorship,Directorship declared in the register,False,2025-04-26,2026-04-10
D-000093,M-00033,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon North,Councillor,Audit and Governance,Corporate tenancies,Corporate tenancies declared in the register,False,2024-11-28,2025-07-27
D-000094,M-00033,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon North,Councillor,Corporate Governance,Land and property in the area,Land and property in the area declared in the register,False,2025-05-21,2026-05-11
D-000095,M-00034,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Councillor,Planning,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2024-11-02,2025-05-09
D-000096,M-00034,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Councillor,Planning,"Employment, office, trade or profession",Employment declared in the register,False,2023-12-26,2024-12-07
D-000097,M-00034,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Councillor,Overview and Scrutiny,Directorship,Directorship declared in the register,False,2023-05-06,2023-11-02
D-000098,M-00034,South Cambridgeshire District Council,South Cambridgeshire District Council,Yaxley,Councillor,Corporate Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-10-17,2024-02-04
D-000099,M-00035,St Ives Town Council,Huntingdonshire District Council,St Neots East,Cabinet Member,Environment,Licences to occupy land,Licences to occupy land declared in the register,False,2024-07-07,2025-03-09
D-000100,M-00035,St Ives Town Council,Huntingdonshire District Council,St Neots East,Cabinet Member,Licensing,Securities,Securities declared in the register,False,2023-08-25,2023-12-22
D-000101,M-00035,St Ives Town Council,Huntingdonshire District Council,St Neots East,Cabinet Member,Health and Wellbeing,Sensitive interest (withheld under s.32),,True,2025-01-24,2025-04-05
D-000102,M-00036,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives West,Councillor,Environment,"Employment, office, trade or profession",Employment declared in the register,False,2025-02-21,2025-06-18
D-000103,M-00037,St Ives Town Council,Huntingdonshire District Council,Huntingdon North,Committee Member,Health and Wellbeing,Contracts with the authority,Contracts with the authority declared in the register,False,2025-01-11,2025-01-31
D-000104,M-00038,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Planning,Land and property in the area,Land and property in the area declared in the register,False,2024-12-20,2025-09-21
D-000105,M-00038,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Licensing,Contracts with the authority,Contracts with the authority declared in the register,False,2023-05-01,2023-07-15
D-000106,M-00038,Ramsey Town Council,Huntingdonshire District Council,Godmanchester,Councillor,Environment,Licences to occupy land,Licences to occupy land declared in the register,False,2023-08-15,2024-06-23
D-000107,M-00039,Huntingdon Town Council,Huntingdonshire District Council,Somersham,Vice-Chair,Standards,Membership of a political party,Membership of a political party declared in the register,False,2024-03-06,2024-09-06
D-000108,M-00040,Ramsey Town Council,Huntingdonshire District Council,Huntingdon East,Councillor,Corporate Governance,Corporate tenancies,Corporate tenancies declared in the register,False,2024-05-31,2025-04-27
D-000109,M-00040,Ramsey Town Council,Huntingdonshire District Council,Huntingdon East,Councillor,Environment,Land and property in the area,Land and property in the area declared in the register,False,2025-07-17,2026-06-02
D-000110,M-00041,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Councillor,Overview and Scrutiny,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-05-10,2025-08-25
D-000111,M-00041,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Councillor,Health and Wellbeing,Land and property in the area,Land and property in the area declared in the register,False,2025-02-17,2025-05-25
D-000112,M-00041,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Councillor,Health and Wellbeing,Directorship,Directorship declared in the register,False,2023-05-25,2023-11-01
D-000113,M-00041,Cambridgeshire County Council,Cambridgeshire County Council,Sawtry,Councillor,(none),Sponsorship,Sponsorship declared in the register,False,2023-09-16,2024-08-28
D-000114,M-00042,Ramsey Town Council,Huntingdonshire District Council,Huntingdon West,Councillor,Environment,Sponsorship,Sponsorship declared in the register,False,2023-12-09,2025-01-07
D-000115,M-00042,Ramsey Town Council,Huntingdonshire District Council,Huntingdon West,Councillor,Finance,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-06-14,2024-04-20
D-000116,M-00043,Huntingdon Town Council,Huntingdonshire District Council,Huntingdon North,Cabinet Member,Finance,"Employment, office, trade or profession",Employment declared in the register,False,2023-12-04,2024-07-07
D-000117,M-00043,Huntingdon Town Council,Huntingdonshire District Council,Huntingdon North,Cabinet Member,Corporate Governance,Trade union membership,Trade union membership declared in the register,False,2024-06-16,2024-06-27
D-000118,M-00044,St Ives Town Council,Huntingdonshire District Council,St Ives West,Councillor,Corporate Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2024-11-22,2024-12-30
D-000119,M-00044,St Ives Town Council,Huntingdonshire District Council,St Ives West,Councillor,Overview and Scrutiny,Licences to occupy land,Licences to occupy land declared in the register,False,2023-11-13,2024-03-16
D-000120,M-00044,St Ives Town Council,Huntingdonshire District Council,St Ives West,Councillor,Licensing,Securities,Securities declared in the register,False,2023-12-26,2024-07-20
D-000121,M-00044,St Ives Town Council,Huntingdonshire District Council,St Ives West,Councillor,Standards,Contracts with the authority,Contracts with the authority declared in the register,False,2024-05-19,2024-12-11
D-000122,M-00045,St Ives Town Council,Huntingdonshire District Council,Warboys,Councillor,Audit and Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-07-16,2026-07-31
D-000123,M-00045,St Ives Town Council,Huntingdonshire District Council,Warboys,Councillor,Planning,Licences to occupy land,Licences to occupy land declared in the register,False,2024-08-10,2024-12-17
D-000124,M-00045,St Ives Town Council,Huntingdonshire District Council,Warboys,Councillor,Employment,Sensitive interest (withheld under s.32),,True,2024-10-22,2025-04-17
D-000125,M-00046,St Ives Town Council,Huntingdonshire District Council,Warboys,Chair,Overview and Scrutiny,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2025-10-04,2026-05-04
D-000126,M-00046,St Ives Town Council,Huntingdonshire District Council,Warboys,Chair,Environment,Sponsorship,Sponsorship declared in the register,False,2024-06-22,2025-02-20
D-000127,M-00047,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon North,Councillor,Planning,Membership of a political party,Membership of a political party declared in the register,False,2023-09-10,2024-02-03
D-000128,M-00047,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon North,Councillor,Overview and Scrutiny,Membership of a political party,Membership of a political party declared in the register,False,2024-05-16,2024-09-06
D-000129,M-00047,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon North,Councillor,Environment,Contracts with the authority,Contracts with the authority declared in the register,False,2024-07-08,2024-12-16
D-000130,M-00047,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon North,Councillor,Environment,Land and property in the area,Land and property in the area declared in the register,False,2025-08-18,2025-09-20
D-000131,M-00047,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon North,Councillor,Standards,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-06-29,2026-07-15
D-000132,M-00048,Ramsey Town Council,Huntingdonshire District Council,Brampton,Councillor,(none),Securities,Securities declared in the register,False,2024-11-24,2024-11-28
D-000133,M-00049,South Cambridgeshire District Council,South Cambridgeshire District Council,St Ives South,Committee Member,Environment,"Employment, office, trade or profession",Employment declared in the register,False,2024-10-03,2025-09-02
D-000134,M-00050,St Ives Town Council,Huntingdonshire District Council,St Ives West,Chair,Health and Wellbeing,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2025-05-29,2026-01-22
D-000135,M-00050,St Ives Town Council,Huntingdonshire District Council,St Ives West,Chair,Audit and Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-06-15,2023-08-06
D-000136,M-00051,Huntingdonshire District Council,Huntingdonshire District Council,St Neots Eynesbury,Committee Member,Environment,Contracts with the authority,Contracts with the authority declared in the register,False,2024-02-09,2025-01-08
D-000137,M-00051,Huntingdonshire District Council,Huntingdonshire District Council,St Neots Eynesbury,Committee Member,Licensing,"Employment, office, trade or profession",Employment declared in the register,False,2024-03-04,2024-11-16
D-000138,M-00052,Ramsey Town Council,Huntingdonshire District Council,St Neots East,Mayor,Health and Wellbeing,Securities,Securities declared in the register,False,2025-06-29,2025-10-04
D-000139,M-00052,Ramsey Town Council,Huntingdonshire District Council,St Neots East,Mayor,Standards,Membership of a political party,Membership of a political party declared in the register,False,2023-11-08,2024-01-04
D-000140,M-00052,Ramsey Town Council,Huntingdonshire District Council,St Neots East,Mayor,Audit and Governance,Land and property in the area,Land and property in the area declared in the register,False,2023-05-24,2024-02-29
D-000141,M-00052,Ramsey Town Council,Huntingdonshire District Council,St Neots East,Mayor,Audit and Governance,Membership of a political party,Membership of a political party declared in the register,False,2024-02-01,2024-11-12
D-000142,M-00052,Ramsey Town Council,Huntingdonshire District Council,St Neots East,Mayor,Licensing,Directorship,Directorship declared in the register,False,2024-05-25,2025-01-21
D-000143,M-00053,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Councillor,(none),Membership of a political party,Membership of a political party declared in the register,False,2023-06-11,2023-08-12
D-000144,M-00053,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Councillor,Audit and Governance,Licences to occupy land,Licences to occupy land declared in the register,False,2025-02-14,2026-03-09
D-000145,M-00053,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Councillor,Overview and Scrutiny,Land and property in the area,Land and property in the area declared in the register,False,2024-09-25,2025-07-23
D-000146,M-00053,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Councillor,Planning,Trade union membership,Trade union membership declared in the register,False,2025-01-16,2025-10-21
D-000147,M-00053,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Councillor,Licensing,Corporate tenancies,Corporate tenancies declared in the register,False,2024-04-21,2024-05-07
D-000148,M-00054,Huntingdon Town Council,Huntingdonshire District Council,Godmanchester,Vice-Chair,Overview and Scrutiny,Membership of a political party,Membership of a political party declared in the register,False,2024-11-06,2025-08-13
D-000149,M-00054,Huntingdon Town Council,Huntingdonshire District Council,Godmanchester,Vice-Chair,Standards,"Employment, office, trade or profession",Employment declared in the register,False,2025-06-28,2026-06-22
D-000150,M-00055,Huntingdonshire District Council,Huntingdonshire District Council,Fenstanton,Councillor,Audit and Governance,Sensitive interest (withheld under s.32),,True,2024-04-11,2024-10-27
D-000151,M-00055,Huntingdonshire District Council,Huntingdonshire District Council,Fenstanton,Councillor,Corporate Governance,Land and property in the area,Land and property in the area declared in the register,False,2025-06-28,2026-05-25
D-000152,M-00055,Huntingdonshire District Council,Huntingdonshire District Council,Fenstanton,Councillor,Environment,Contracts with the authority,Contracts with the authority declared in the register,False,2025-05-27,2026-04-26
D-000153,M-00055,Huntingdonshire District Council,Huntingdonshire District Council,Fenstanton,Councillor,(none),Membership of a political party,Membership of a political party declared in the register,False,2024-01-29,2024-10-14
D-000154,M-00056,Huntingdonshire District Council,Huntingdonshire District Council,St Ives West,Mayor,Environment,Sensitive interest (withheld under s.32),,True,2025-03-15,2025-04-27
D-000155,M-00057,South Cambridgeshire District Council,South Cambridgeshire District Council,St Neots East,Committee Member,Licensing,Trade union membership,Trade union membership declared in the register,False,2024-03-18,2025-01-09
