region,alert_date,alert_level,in_alert_season,consecutive_days_at_level,issued_at
North East,2019-05-02,Green,False,214,2019-05-02T09:00:00
North East,2019-05-03,Green,False,215,2019-05-03T09:00:00
North East,2019-05-04,Green,False,216,2019-05-04T09:00:00
North East,2019-05-05,Green,False,217,2019-05-05T09:00:00
North East,2019-05-06,Green,False,218,2019-05-06T09:00:00
North East,2019-05-07,Green,False,219,2019-05-07T09:00:00
North East,2019-05-08,Green,False,220,2019-05-08T09:00:00
North East,2019-05-09,Green,False,221,2019-05-09T09:00:00
North East,2019-05-10,Green,False,222,2019-05-10T09:00:00
North East,2019-05-11,Green,False,223,2019-05-11T09:00:00
North East,2019-05-12,Green,False,224,2019-05-12T09:00:00
North East,2019-05-13,Green,False,225,2019-05-13T09:00:00
North East,2019-05-14,Green,False,226,2019-05-14T09:00:00
North East,2019-05-15,Green,False,227,2019-05-15T09:00:00
North East,2019-05-16,Green,False,228,2019-05-16T09:00:00
North East,2019-05-17,Green,False,229,2019-05-17T09:00:00
North East,2019-05-18,Green,False,230,2019-05-18T09:00:00
North East,2019-05-19,Green,False,231,2019-05-19T09:00:00
North East,2019-05-20,Green,False,232,2019-05-20T09:00:00
North East,2019-05-21,Green,False,233,2019-05-21T09:00:00
North East,2019-05-22,Green,False,234,2019-05-22T09:00:00
North East,2019-05-23,Green,False,235,2019-05-23T09:00:00
North East,2019-05-24,Green,False,236,2019-05-24T09:00:00
North East,2019-05-25,Green,False,237,2019-05-25T09:00:00
North East,2019-05-26,Green,False,238,2019-05-26T09:00:00
North East,2019-05-27,Green,False,239,2019-05-27T09:00:00
North East,2019-05-28,Green,False,240,2019-05-28T09:00:00
North East,2019-05-29,Green,False,241,2019-05-29T09:00:00
North East,2019-05-30,Green,False,242,2019-05-30T09:00:00
North East,2019-05-31,Green,False,243,2019-05-31T09:00:00
North East,2019-06-01,Green,True,244,2019-06-01T09:00:00
North East,2019-06-02,Yellow,True,1,2019-06-02T09:00:00
North East,2019-06-03,Green,True,1,2019-06-03T09:00:00
North East,2019-06-04,Green,True,2,2019-06-04T09:00:00
North East,2019-06-05,Green,True,3,2019-06-05T09:00:00
North East,2019-06-06,Yellow,True,1,2019-06-06T09:00:00
North East,2019-06-07,Green,True,1,2019-06-07T09:00:00
North East,2019-06-08,Green,True,2,2019-06-08T09:00:00
North East,2019-06-09,Green,True,3,2019-06-09T09:00:00
North East,2019-06-10,Green,True,4,2019-06-10T09:00:00
North East,2019-06-11,Green,True,5,2019-06-11T09:00:00
North East,2019-06-12,Green,True,6,2019-06-12T09:00:00
North East,2019-06-13,Green,True,7,2019-06-13T09:00:00
North East,2019-06-14,Green,True,8,2019-06-14T09:00:00
North East,2019-06-15,Green,True,9,2019-06-15T09:00:00
North East,2019-06-16,Green,True,10,2019-06-16T09:00:00
North East,2019-06-17,Amber,True,1,2019-06-17T09:00:00
North East,2019-06-18,Green,True,1,2019-06-18T09:00:00
North East,2019-06-19,Green,True,2,2019-06-19T09:00:00
North East,2019-06-20,Green,True,3,2019-06-20T09:00:00
North East,2019-06-21,Green,True,4,2019-06-21T09:00:00
North East,2019-06-22,Green,True,5,2019-06-22T09:00:00
North East,2019-06-23,Green,True,6,2019-06-23T09:00:00
North East,2019-06-24,Green,True,7,2019-06-24T09:00:00
North East,2019-06-25,Green,True,8,2019-06-25T09:00:00
North East,2019-06-26,Yellow,True,1,2019-06-26T09:00:00
North East,2019-06-27,Green,True,1,2019-06-27T09:00:00
North East,2019-06-28,Green,True,2,2019-06-28T09:00:00
North East,2019-06-29,Green,True,3,2019-06-29T09:00:00
North East,2019-06-30,Green,True,4,2019-06-30T09:00:00
North East,2019-07-01,Green,True,5,2019-07-01T09:00:00
North East,2019-07-02,Green,True,6,2019-07-02T09:00:00
North East,2019-07-03,Green,True,7,2019-07-03T09:00:00
North East,2019-07-04,Green,True,8,2019-07-04T09:00:00
North East,2019-07-05,Green,True,9,2019-07-05T09:00:00
North East,2019-07-06,Green,True,10,2019-07-06T09:00:00
North East,2019-07-07,Green,True,11,2019-07-07T09:00:00
North East,2019-07-08,Green,True,12,2019-07-08T09:00:00
North East,2019-07-09,Green,True,13,2019-07-09T09:00:00
North East,2019-07-10,Yellow,True,1,2019-07-10T09:00:00
North East,2019-07-11,Green,True,1,2019-07-11T09:00:00
North East,2019-07-12,Green,True,2,2019-07-12T09:00:00
North East,2019-07-13,Green,True,3,2019-07-13T09:00:00
North East,2019-07-14,Green,True,4,2019-07-14T09:00:00
North East,2019-07-15,Green,True,5,2019-07-15T09:00:00
North East,2019-07-16,Green,True,6,2019-07-16T09:00:00
North East,2019-07-17,Green,True,7,2019-07-17T09:00:00
North East,2019-07-18,Green,True,8,2019-07-18T09:00:00
North East,2019-07-19,Yellow,True,1,2019-07-19T09:00:00
North East,2019-07-20,Yellow,True,2,2019-07-20T09:00:00
North East,2019-07-21,Green,True,1,2019-07-21T09:00:00
North East,2019-07-22,Green,True,2,2019-07-22T09:00:00
North East,2019-07-23,Green,True,3,2019-07-23T09:00:00
North East,2019-07-24,Green,True,4,2019-07-24T09:00:00
North East,2019-07-25,Green,True,5,2019-07-25T09:00:00
North East,2019-07-26,Green,True,6,2019-07-26T09:00:00
North East,2019-07-27,Amber,True,1,2019-07-27T09:00:00
North East,2019-07-28,Green,True,1,2019-07-28T09:00:00
North East,2019-07-29,Green,True,2,2019-07-29T09:00:00
North East,2019-07-30,Green,True,3,2019-07-30T09:00:00
North East,2019-07-31,Green,True,4,2019-07-31T09:00:00
North East,2019-08-01,Green,True,5,2019-08-01T09:00:00
North East,2019-08-02,Green,True,6,2019-08-02T09:00:00
North East,2019-08-03,Green,True,7,2019-08-03T09:00:00
North East,2019-08-04,Green,True,8,2019-08-04T09:00:00
North East,2019-08-05,Green,True,9,2019-08-05T09:00:00
North East,2019-08-06,Yellow,True,1,2019-08-06T09:00:00
North East,2019-08-07,Green,True,1,2019-08-07T09:00:00
North East,2019-08-08,Yellow,True,1,2019-08-08T09:00:00
North East,2019-08-09,Yellow,True,2,2019-08-09T09:00:00
North East,2019-08-10,Green,True,1,2019-08-10T09:00:00
North East,2019-08-11,Green,True,2,2019-08-11T09:00:00
North East,2019-08-12,Yellow,True,1,2019-08-12T09:00:00
North East,2019-08-13,Amber,True,1,2019-08-13T09:00:00
North East,2019-08-14,Green,True,1,2019-08-14T09:00:00
North East,2019-08-15,Green,True,2,2019-08-15T09:00:00
North East,2019-08-16,Green,True,3,2019-08-16T09:00:00
North East,2019-08-17,Green,True,4,2019-08-17T09:00:00
North East,2019-08-18,Yellow,True,1,2019-08-18T09:00:00
North East,2019-08-19,Green,True,1,2019-08-19T09:00:00
North East,2019-08-20,Green,True,2,2019-08-20T09:00:00
North East,2019-08-21,Green,True,3,2019-08-21T09:00:00
North East,2019-08-22,Green,True,4,2019-08-22T09:00:00
North East,2019-08-23,Green,True,5,2019-08-23T09:00:00
North East,2019-08-24,Green,True,6,2019-08-24T09:00:00
North East,2019-08-25,Green,True,7,2019-08-25T09:00:00
North East,2019-08-26,Green,True,8,2019-08-26T09:00:00
North East,2019-08-27,Green,True,9,2019-08-27T09:00:00
North East,2019-08-28,Yellow,True,1,2019-08-28T09:00:00
North East,2019-08-29,Green,True,1,2019-08-29T09:00:00
North East,2019-08-30,Green,True,2,2019-08-30T09:00:00
North East,2019-08-31,Amber,True,1,2019-08-31T09:00:00
North East,2019-09-01,Green,True,1,2019-09-01T09:00:00
North East,2019-09-02,Green,True,2,2019-09-02T09:00:00
North East,2019-09-03,Green,True,3,2019-09-03T09:00:00
North East,2019-09-04,Green,True,4,2019-09-04T09:00:00
North East,2019-09-05,Green,True,5,2019-09-05T09:00:00
North East,2019-09-06,Yellow,True,1,2019-09-06T09:00:00
North East,2019-09-07,Green,True,1,2019-09-07T09:00:00
North East,2019-09-08,Green,True,2,2019-09-08T09:00:00
North East,2019-09-09,Green,True,3,2019-09-09T09:00:00
North East,2019-09-10,Green,True,4,2019-09-10T09:00:00
North East,2019-09-11,Green,True,5,2019-09-11T09:00:00
North East,2019-09-12,Green,True,6,2019-09-12T09:00:00
North East,2019-09-13,Green,True,7,2019-09-13T09:00:00
North East,2019-09-14,Green,True,8,2019-09-14T09:00:00
North East,2019-09-15,Green,True,9,2019-09-15T09:00:00
North East,2019-09-16,Green,True,10,2019-09-16T09:00:00
North East,2019-09-17,Green,True,11,2019-09-17T09:00:00
North East,2019-09-18,Green,True,12,2019-09-18T09:00:00
North East,2019-09-19,Green,True,13,2019-09-19T09:00:00
North East,2019-09-20,Green,True,14,2019-09-20T09:00:00
North East,2019-09-21,Green,True,15,2019-09-21T09:00:00
North East,2019-09-22,Green,True,16,2019-09-22T09:00:00
North East,2019-09-23,Green,True,17,2019-09-23T09:00:00
North East,2019-09-24,Yellow,True,1,2019-09-24T09:00:00
North East,2019-09-25,Green,True,1,2019-09-25T09:00:00
North East,2019-09-26,Yellow,True,1,2019-09-26T09:00:00
North East,2019-09-27,Green,True,1,2019-09-27T09:00:00
North East,2019-09-28,Green,True,2,2019-09-28T09:00:00
North East,2019-09-29,Green,True,3,2019-09-29T09:00:00
North East,2019-09-30,Green,True,4,2019-09-30T09:00:00
North East,2019-10-01,Green,False,5,2019-10-01T09:00:00
North East,2019-10-02,Green,False,6,2019-10-02T09:00:00
North East,2019-10-03,Green,False,7,2019-10-03T09:00:00
North East,2019-10-04,Green,False,8,2019-10-04T09:00:00
North East,2019-10-05,Green,False,9,2019-10-05T09:00:00
North East,2019-10-06,Green,False,10,2019-10-06T09:00:00
North East,2019-10-07,Green,False,11,2019-10-07T09:00:00
North East,2019-10-08,Green,False,12,2019-10-08T09:00:00
North East,2019-10-09,Green,False,13,2019-10-09T09:00:00
North East,2019-10-10,Green,False,14,2019-10-10T09:00:00
North East,2019-10-11,Green,False,15,2019-10-11T09:00:00
North East,2019-10-12,Green,False,16,2019-10-12T09:00:00
North East,2019-10-13,Green,False,17,2019-10-13T09:00:00
North East,2019-10-14,Green,False,18,2019-10-14T09:00:00
North East,2019-10-15,Green,False,19,2019-10-15T09:00:00
North East,2019-10-16,Green,False,20,2019-10-16T09:00:00
North East,2019-10-17,Green,False,21,2019-10-17T09:00:00
North East,2019-10-18,Green,False,22,2019-10-18T09:00:00
North East,2019-10-19,Green,False,23,2019-10-19T09:00:00
North East,2019-10-20,Green,False,24,2019-10-20T09:00:00
North East,2019-10-21,Green,False,25,2019-10-21T09:00:00
North East,2019-10-22,Green,False,26,2019-10-22T09:00:00
North East,2019-10-23,Green,False,27,2019-10-23T09:00:00
North East,2019-10-24,Green,False,28,2019-10-24T09:00:00
North East,2019-10-25,Green,False,29,2019-10-25T09:00:00
North East,2019-10-26,Green,False,30,2019-10-26T09:00:00
North East,2019-10-27,Green,False,31,2019-10-27T09:00:00
North East,2019-10-28,Green,False,32,2019-10-28T09:00:00
North East,2019-10-29,Green,False,33,2019-10-29T09:00:00
North East,2019-10-30,Green,False,34,2019-10-30T09:00:00
North East,2019-10-31,Green,False,35,2019-10-31T09:00:00
North East,2019-11-01,Green,False,36,2019-11-01T09:00:00
North East,2019-11-02,Green,False,37,2019-11-02T09:00:00
North East,2019-11-03,Green,False,38,2019-11-03T09:00:00
North East,2019-11-04,Green,False,39,2019-11-04T09:00:00
North East,2019-11-05,Green,False,40,2019-11-05T09:00:00
North East,2019-11-06,Green,False,41,2019-11-06T09:00:00
North East,2019-11-07,Green,False,42,2019-11-07T09:00:00
North East,2019-11-08,Green,False,43,2019-11-08T09:00:00
North East,2019-11-09,Green,False,44,2019-11-09T09:00:00
North East,2019-11-10,Green,False,45,2019-11-10T09:00:00
North East,2019-11-11,Green,False,46,2019-11-11T09:00:00
North East,2019-11-12,Green,False,47,2019-11-12T09:00:00
North East,2019-11-13,Green,False,48,2019-11-13T09:00:00
North East,2019-11-14,Green,False,49,2019-11-14T09:00:00
North East,2019-11-15,Green,False,50,2019-11-15T09:00:00
North East,2019-11-16,Green,False,51,2019-11-16T09:00:00
North East,2019-11-17,Green,False,52,2019-11-17T09:00:00
North East,2019-11-18,Green,False,53,2019-11-18T09:00:00
North East,2019-11-19,Green,False,54,2019-11-19T09:00:00
North East,2019-11-20,Green,False,55,2019-11-20T09:00:00
North East,2019-11-21,Green,False,56,2019-11-21T09:00:00
North East,2019-11-22,Green,False,57,2019-11-22T09:00:00
North East,2019-11-23,Green,False,58,2019-11-23T09:00:00
North East,2019-11-24,Green,False,59,2019-11-24T09:00:00
North East,2019-11-25,Green,False,60,2019-11-25T09:00:00
North East,2019-11-26,Green,False,61,2019-11-26T09:00:00
North East,2019-11-27,Green,False,62,2019-11-27T09:00:00
North East,2019-11-28,Green,False,63,2019-11-28T09:00:00
North East,2019-11-29,Green,False,64,2019-11-29T09:00:00
North East,2019-11-30,Green,False,65,2019-11-30T09:00:00
North East,2019-12-01,Green,False,66,2019-12-01T09:00:00
North East,2019-12-02,Green,False,67,2019-12-02T09:00:00
North East,2019-12-03,Green,False,68,2019-12-03T09:00:00
North East,2019-12-04,Green,False,69,2019-12-04T09:00:00
North East,2019-12-05,Green,False,70,2019-12-05T09:00:00
North East,2019-12-06,Green,False,71,2019-12-06T09:00:00
North East,2019-12-07,Green,False,72,2019-12-07T09:00:00
North East,2019-12-08,Green,False,73,2019-12-08T09:00:00
North East,2019-12-09,Green,False,74,2019-12-09T09:00:00
North East,2019-12-10,Green,False,75,2019-12-10T09:00:00
North East,2019-12-11,Green,False,76,2019-12-11T09:00:00
North East,2019-12-12,Green,False,77,2019-12-12T09:00:00
North East,2019-12-13,Green,False,78,2019-12-13T09:00:00
North East,2019-12-14,Green,False,79,2019-12-14T09:00:00
North East,2019-12-15,Green,False,80,2019-12-15T09:00:00
North East,2019-12-16,Green,False,81,2019-12-16T09:00:00
North East,2019-12-17,Green,False,82,2019-12-17T09:00:00
North East,2019-12-18,Green,False,83,2019-12-18T09:00:00
North East,2019-12-19,Green,False,84,2019-12-19T09:00:00
North East,2019-12-20,Green,False,85,2019-12-20T09:00:00
North East,2019-12-21,Green,False,86,2019-12-21T09:00:00
North East,2019-12-22,Green,False,87,2019-12-22T09:00:00
North East,2019-12-23,Green,False,88,2019-12-23T09:00:00
North East,2019-12-24,Green,False,89,2019-12-24T09:00:00
North East,2019-12-25,Green,False,90,2019-12-25T09:00:00
North East,2019-12-26,Green,False,91,2019-12-26T09:00:00
North East,2019-12-27,Green,False,92,2019-12-27T09:00:00
North East,2019-12-28,Green,False,93,2019-12-28T09:00:00
North East,2019-12-29,Green,False,94,2019-12-29T09:00:00
North East,2019-12-30,Green,False,95,2019-12-30T09:00:00
North East,2019-12-31,Green,False,96,2019-12-31T09:00:00
North East,2020-01-01,Green,False,97,2020-01-01T09:00:00
North East,2020-01-02,Green,False,98,2020-01-02T09:00:00
North East,2020-01-03,Green,False,99,2020-01-03T09:00:00
North East,2020-01-04,Green,False,100,2020-01-04T09:00:00
North East,2020-01-05,Green,False,101,2020-01-05T09:00:00
North East,2020-01-06,Green,False,102,2020-01-06T09:00:00
